
📈 Progress:
2025-05-03 14:39:41 | Job 177 | Files: 253   | Dirs: 395   | Data: 160.665 GB | Δt:    0 s | Speed:    0.000 MB/s
2025-05-03 14:40:41 | Job 177 | Files: 261   | Dirs: 403   | Data: 284.940 GB | Δt:   60 s | Speed: 2120.950 MB/s
2025-05-03 14:50:41 | Job 177 | Files: 2076  | Dirs: 4424  | Data: 1637.405 GB | Δt:  600 s | Speed: 2308.208 MB/s
2025-05-03 14:59:41 | Job 177 | Files: 2105  | Dirs: 4471  | Data: 2820.207 GB | Δt:  540 s | Speed: 2242.943 MB/s
2025-05-03 15:09:41 | Job 177 | Files: 2131  | Dirs: 4500  | Data: 4176.615 GB | Δt:  600 s | Speed: 2314.937 MB/s
2025-05-03 15:19:42 | Job 177 | Files: 2147  | Dirs: 4516  | Data: 5531.671 GB | Δt:  601 s | Speed: 2308.780 MB/s
2025-05-03 15:29:42 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 6883.988 GB | Δt:  600 s | Speed: 2307.955 MB/s
2025-05-03 15:39:42 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 8238.082 GB | Δt:  600 s | Speed: 2310.987 MB/s
2025-05-03 15:49:42 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 9543.851 GB | Δt:  600 s | Speed: 2228.513 MB/s
2025-05-03 15:59:42 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 10888.571 GB | Δt:  600 s | Speed: 2294.988 MB/s
2025-05-03 16:09:42 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 12248.787 GB | Δt:  600 s | Speed: 2321.435 MB/s
2025-05-03 16:19:42 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 13602.190 GB | Δt:  600 s | Speed: 2309.808 MB/s
2025-05-03 16:29:42 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 14975.703 GB | Δt:  600 s | Speed: 2344.128 MB/s
2025-05-03 16:39:42 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 16307.425 GB | Δt:  600 s | Speed: 2272.805 MB/s
2025-05-03 16:49:43 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 17706.813 GB | Δt:  601 s | Speed: 2384.316 MB/s
2025-05-03 16:59:43 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 19098.991 GB | Δt:  600 s | Speed: 2375.983 MB/s
2025-05-03 17:09:43 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 20532.185 GB | Δt:  600 s | Speed: 2445.985 MB/s
2025-05-03 17:19:43 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 21985.392 GB | Δt:  600 s | Speed: 2480.140 MB/s
2025-05-03 17:29:43 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 23431.346 GB | Δt:  600 s | Speed: 2467.762 MB/s
2025-05-03 17:39:43 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 24848.938 GB | Δt:  600 s | Speed: 2419.357 MB/s
2025-05-03 17:49:43 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 26315.958 GB | Δt:  600 s | Speed: 2503.713 MB/s
2025-05-03 17:59:43 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 27801.649 GB | Δt:  600 s | Speed: 2535.580 MB/s
2025-05-03 18:09:43 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 29320.702 GB | Δt:  600 s | Speed: 2592.517 MB/s
2025-05-03 18:19:44 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 30895.555 GB | Δt:  601 s | Speed: 2683.278 MB/s
2025-05-03 18:29:44 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 32453.397 GB | Δt:  600 s | Speed: 2658.717 MB/s
2025-05-03 18:39:44 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 34079.147 GB | Δt:  600 s | Speed: 2774.613 MB/s
2025-05-03 18:49:44 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 35741.118 GB | Δt:  600 s | Speed: 2836.430 MB/s
2025-05-03 18:59:44 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 37434.344 GB | Δt:  600 s | Speed: 2889.773 MB/s
2025-05-03 19:09:44 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 39111.484 GB | Δt:  600 s | Speed: 2862.318 MB/s
2025-05-03 19:19:44 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 40753.562 GB | Δt:  600 s | Speed: 2802.480 MB/s
2025-05-03 19:29:44 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 42346.504 GB | Δt:  600 s | Speed: 2718.620 MB/s
2025-05-03 19:39:45 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 43866.960 GB | Δt:  601 s | Speed: 2590.594 MB/s
2025-05-03 19:49:45 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 45272.979 GB | Δt:  600 s | Speed: 2399.607 MB/s
2025-05-03 19:59:45 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 46660.026 GB | Δt:  600 s | Speed: 2367.227 MB/s
2025-05-03 20:09:45 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 48051.370 GB | Δt:  600 s | Speed: 2374.560 MB/s
