Job ID,Start Time,End Time,Duration (sec),Duration (min),Files,Data (GB),Raw Bytes,Avg MB/s
1,2024-09-12 00:23:23,2024-09-12 01:00:23,2220,37.0,5074,245.42,263521997930,113.205
2,2024-09-12 19:53:59,2024-09-13 19:20:06,84367,1406.12,200020,27412.27,29433695488636,332.715
3,2024-09-13 23:04:53,2024-09-14 07:19:56,29703,495.05,10050,12276.0,13181257412768,423.211
4,2024-09-16 18:24:59,2024-09-17 07:20:07,46508,775.13,32370,5193.56,5576542587128,114.35
5,2024-09-18 17:53:48,2024-09-21 01:40:26,200798,3346.63,9980,13661.89,14669342042025,69.671
6,2024-09-26 03:06:44,2024-09-26 15:49:52,45788,763.13,1,0.0,3655,0.0
7,2024-09-27 18:16:23,2024-09-27 18:20:23,240,4.0,1065,282.72,303563406099,1206.253
8,2024-09-27 19:12:35,2024-09-27 19:49:36,2221,37.02,16,1018.77,1093891250942,469.706
9,2024-09-27 23:30:10,2024-09-28 07:20:15,28205,470.08,1372,18394.03,19750435186532,667.807
10,2024-09-28 18:59:13,2024-09-30 00:39:32,106819,1780.32,23552,15331.88,16462475813594,146.976
11,2024-10-02 00:46:25,2024-10-03 06:19:44,106399,1773.32,16768,12043.69,12931816074709,115.91
12,2024-10-04 23:56:22,2024-10-06 04:59:41,104599,1743.32,890,93525.58,100422330003717,915.594
13,2024-10-09 15:58:27,2024-10-09 17:20:28,4921,82.02,309,1231.69,1322516619463,256.3
14,2024-10-11 22:35:17,2024-10-13 01:39:35,97458,1624.3,1457,93631.76,100536341028040,983.797
15,2024-10-16 17:06:16,2024-10-17 17:29:32,87796,1463.27,1449,93752.85,100666357698539,1093.477
16,2024-10-18 00:11:58,2024-10-18 00:11:58,0,0.0,266,392.58,421531189809,0
17,2024-10-18 20:12:11,2024-10-18 20:20:11,480,8.0,6375,4047.91,4346408806055,8635.538
19,2024-10-18 21:13:37,2024-10-18 21:39:38,1561,26.02,303010,12331.26,13240592481640,8089.182
20,2024-10-18 22:24:21,2024-10-19 22:59:37,88516,1475.27,1089,25333.09,27201200772663,293.067
21,2024-10-20 18:15:11,2024-10-21 17:20:26,83115,1385.25,26880,66784.58,71709397655791,822.805
22,2024-10-22 22:12:30,2024-10-23 13:09:40,53830,897.17,57045,94023.1,100956531387786,1788.587
23,2024-10-23 18:16:25,2024-10-24 08:59:35,52990,883.17,28154,93809.29,100726956547633,1812.808
24,2024-10-25 21:16:13,2024-10-26 12:00:23,53050,884.17,2155,94145.27,101087711185742,1817.243
25,2024-10-29 22:30:44,2024-10-30 13:19:54,53350,889.17,2270,94200.87,101147408792003,1808.092
26,2024-11-07 20:25:17,2024-11-07 21:10:18,2701,45.02,1479,24293.31,26084745497440,9210.053
27,2024-11-07 22:50:39,2024-11-08 12:59:48,50949,849.15,677,94063.26,100999658237338,1890.533
28,2024-11-19 19:53:13,2024-11-19 20:20:13,1620,27.0,1144,15165.54,16283878789082,9586.122
29,2024-11-19 21:22:40,2024-11-20 11:29:49,50829,847.15,314,94004.38,100936438368567,1893.81
33,2024-12-06 23:24:38,2024-12-07 16:29:50,61512,1025.2,3460,99153.21,106464943454310,1650.619
35,2024-12-09 17:47:15,2024-12-10 13:00:28,69193,1153.22,965,99190.43,106504916910291,1467.938
36,2024-12-11 16:37:38,2024-12-12 08:29:48,57130,952.17,1188,99277.19,106598070568775,1779.448
37,2024-12-12 20:58:07,2024-12-13 13:50:18,60731,1012.18,1501,99513.6,106851916958760,1677.923
38,2024-12-13 19:45:51,2024-12-14 11:30:01,56650,944.17,1492,99632.29,106979355422307,1800.944
39,2024-12-14 15:13:16,2024-12-15 07:00:27,56831,947.18,532,99537.66,106877745265011,1793.503
40,2024-12-15 14:24:23,2024-12-16 06:19:33,57310,955.17,1425,99589.82,106933759408396,1779.445
41,2024-12-16 14:15:22,2024-12-17 05:49:33,56051,934.18,564,99584.34,106927873603262,1819.314
42,2024-12-17 15:28:03,2024-12-18 07:50:14,58931,982.18,1965,99844.93,107207680820759,1734.931
43,2024-12-18 15:22:46,2024-12-19 07:29:56,58030,967.17,1814,99832.07,107193871892384,1761.641
44,2024-12-19 15:19:15,2024-12-20 07:10:26,57071,951.18,1766,100067.12,107446255090691,1795.461
45,2024-12-20 15:14:38,2024-12-20 22:41:29,26811,446.85,541,82334.55,88406050288390,3144.626
46,2024-12-21 15:19:23,2024-12-21 23:59:46,31223,520.38,1811,86284.48,92647259422656,2829.815
47,2024-12-22 14:14:50,2024-12-23 06:30:00,58510,975.17,608,100034.07,107410769073769,1750.725
48,2024-12-23 14:08:34,2024-12-24 05:49:45,56471,941.18,1629,100007.3,107382015463835,1813.452
49,2024-12-24 15:09:20,2024-12-25 07:09:31,57611,960.18,1685,100154.55,107540126743103,1780.185
50,2024-12-25 14:14:33,2024-12-26 05:59:44,56711,945.18,541,100154.83,107540434575346,1808.442
51,2024-12-26 13:57:17,2024-12-27 06:20:28,58991,983.18,1661,100225.56,107616375016186,1739.773
52,2024-12-27 14:57:22,2024-12-27 22:59:36,28934,482.23,1688,85563.95,91873588004112,3028.184
53,2024-12-28 14:55:59,2024-12-29 07:10:10,58451,974.18,1710,100418.25,107823273094560,1759.222
54,2024-12-29 14:10:26,2024-12-30 05:49:36,56350,939.17,1697,100317.43,107715019936759,1822.982
55,2024-12-30 14:04:35,2024-12-31 05:59:45,57310,955.17,1667,100291.74,107687431028348,1791.986
56,2024-12-31 15:07:01,2025-01-01 07:30:12,58991,983.18,1687,100367.74,107769041904148,1742.241
57,2025-01-01 14:24:51,2025-01-02 06:10:02,56711,945.18,1586,100386.36,107789037233883,1812.623
58,2025-01-02 14:15:49,2025-01-03 06:40:00,59051,984.18,1163,100468.22,107876929065165,1742.214
59,2025-01-03 15:15:15,2025-01-03 16:59:30,6255,104.25,564,42746.02,45898188497276,6997.909
60,2025-01-03 17:39:04,2025-01-04 10:20:15,60071,1001.18,728,100693.4,108118716918706,1716.47
61,2025-01-04 15:14:19,2025-01-05 07:30:29,58570,976.17,540,100770.0,108200962564880,1761.797
62,2025-01-05 14:24:00,2025-01-06 06:30:11,57971,966.18,1580,100737.27,108165818143343,1779.424
63,2025-01-06 14:13:52,2025-01-07 07:10:03,60971,1016.18,539,100776.26,108207686485787,1692.524
64,2025-01-07 15:31:31,2025-01-08 07:59:42,59291,988.18,1735,100884.23,108323619481398,1742.346
65,2025-01-08 15:25:37,2025-01-09 08:29:48,61451,1024.18,1771,100994.66,108442188956083,1682.943
